0,1,2,3,4,5,6,7,8,9,10,11
13,71.42857143,114,29.17165,8,30,71,13,0,0,0,0
6,67.5,93,44.80613889,18,0,0,56,0,0,7,30
0,80,0,,0,0,0,0,0,0,0,0
29,65.7,460,764.7544471,51,98,73,110,0,0,54,125
4,67.7,139,375.0051059,17,0,73,0,9,0,21,36
13,71.42857143,114,29.17165,8,30,71,13,0,0,0,0
27,66.19642857,454,747.7860635,52,98,73,110,0,0,54,119
13,71.42857143,114,29.17165,8,30,71,13,0,0,0,0
41,66.26190476,400,155.4815753,73,0,0,116,1,21,57,205
46,66.22340426,584,612.9102648,71,98,73,116,29,21,60,187
48,66.15306122,427,173.2371903,72,0,0,116,29,21,65,196
15,72.625,126,38.10998,10,0,47,48,28,0,3,0
16,70.44117647,197,41.21377,20,0,67,49,68,0,0,13
13,73,135,36.45662727,11,0,47,48,37,0,3,0
13,73,120,40.35211111,9,0,47,60,10,0,3,0
11,72.66666667,120,40.35211111,9,0,47,60,10,0,3,0
23,66.02083333,287,339.1583025,40,1,104,38,29,15,14,86
11,67.91666667,287,75.63535854,82,1,45,21,18,9,18,175
7,67.25,365,112.0049833,36,65,127,44,24,80,9,16
7,67.625,142,86.2213975,40,0,25,17,17,9,0,74
19,66.225,456,1245.398121,42,163,103,20,34,20,0,116
13,66.89285714,390,127.4882946,74,0,76,35,12,55,29,183
8,68.38888889,127,24.56814375,48,0,0,12,0,12,14,89
10,67.86363636,301,79.68735366,82,1,44,21,30,9,18,178
11,67.66666667,216,76.40792131,61,1,20,24,13,11,18,129
14,67.36666667,204,75.32547222,54,0,21,23,13,11,10,126
