电影名,评分,评分人数,想看人数,物料播放量,总票房,首周票房,首日票房
宾虚,7.8,12000 ,6652 ,,17448000,16223000,4851000
终极胜利,7.8,332 ,5103 ,,1058000,434000,252000
黑海夺金,7.8,1212 ,1655 ,,2258000,1506000,415000
猎神：冬日之战,7.7,74000 ,50000 ,,106082000,69018000,22749000
废柴特工,7.7,20000 ,13000 ,,19865000,12961000,4309000
灵偶契约,7.7,26000 ,8574 ,,16864000,6784000,1942000
我最好朋友的婚礼,7.6,29000 ,89000 ,,37415000,23661000,9269000
掠夺者,7.4,11000 ,11000 ,,4384000,2843000,1216000
夏威夷之恋,7.3,4213 ,12000 ,,2156000,1762000,779000
惊天绑架团,7.2,14000 ,61000 ,,13526000,9578000,4638000
绝对控制,7.2,4149 ,6517 ,,6213000,3861000,2509000
卧虎藏龙：青冥宝剑,6.8,178000 ,92000 ,,93739000,51254000,19632000
末日迷踪,6.8,41000 ,30000 ,,35331000,23760000,7584000
白雪公主和三只小猪,6.7,2677 ,7405 ,,1768000,1240000,375000
钢铁骑士,6.4,2857 ,3961 ,,1929000,1850000,990000
红色警戒999,5.8,4915 ,9359 ,,7069000,6277000,3042000
蒸发太平洋,5.7,46000 ,42000 ,,35012000,21320000,7874000
终极硬汉,5.7,11000 ,4497 ,,4913000,4321000,2621000
速度与激情7,9.6,2123000 ,252000 ,,2426588000,398807000,346351000
超能陆战队,9.5,595000 ,31000 ,,524663000,85418000,37459000
模仿游戏,9.3,59000 ,33000 ,,52556000,18934000,2863000
王牌特工：特工学院,9.2,482000 ,26000 ,,483036000,153273000,35046000
侏罗纪世界,9.1,1476000 ,160000 ,45010000 ,1420732000,606727000,101128000
霍比特人3：五军之战,9.1,653000 ,92000 ,,764796000,312486000,90094000
末日崩塌,9.1,671000 ,65000 ,,629673000,318935000,34112000
